pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?,distance_bayesian,distance_bayesian_err,d_kin
J183448.37,G23.429-0.231,18 34 48.38,-8 33 22.0,20160821,0.04894625,101.1400752,0.082985992,6.278656711,0.214040355,-1.208190621,-8.074848977,0.226089065,Y,H,5.24,0.6,
J183550.69,G23.431-0.519,18 35 50.69,-8 41 10.1,20160820,0.033725262,62.76607612,0.050034504,2.91758048,0.117823428,-0.401247556,-1.246141773,0.043581195,,H,4.7,0.69,3.861332068
J183439.21,G23.436-0.184,18 34 39.21,-8 31 40.4,20160821,0.087752216,80.64025102,0.129558895,5.772545414,0.305090929,-0.561545205,-3.450517958,0.157933259,,H,4.86,0.51,4.591354287
J183439.21,G23.436-0.184,18 34 39.21,-8 31 40.4,20160821,0.087752216,96.68218428,0.068395624,2.770052744,0.131281022,-1.517204219,-4.473673555,0.266420671,Y,H,5.25,0.63,
J183439.21,G23.436-0.184,18 34 39.21,-8 31 40.4,20160821,0.087752216,100.2893019,0.074634689,3.523237435,0.156869733,-1.659065982,-6.222111372,0.27824264,Y,H,5.01,0.41,
J183405.44,G23.458-0.016,18 34 05.45,-8 25 53.2,20160821,0.048997782,52.71633089,0.25939278,5.802844807,0.610829423,-0.135606995,-0.837635853,0.076358914,,H,3.46,0.35,3.405382128
J183405.44,G23.458-0.016,18 34 05.45,-8 25 53.2,20160821,0.048997782,80.79189222,0.137099363,4.449769866,0.32284755,-0.22468087,-1.064230881,0.066867435,,H,4.9,0.51,4.596400294
J183347.81,G23.458+0.066,18 33 47.82,-8 23 35.3,20160821,0.04927263,53.9342648,0.203720041,2.369914204,0.479728817,-0.117522217,-0.29647277,0.051972834,,,3.45,0.34,3.462564385
J183347.81,G23.458+0.066,18 33 47.82,-8 23 35.3,20160821,0.04927263,86.04945855,0.124835802,6.146633175,0.293968784,-0.308851455,-2.02078057,0.083698969,,H,4.93,0.54,4.799034108
J183337.95,G23.465+0.115,18 33 37.96,-8 21 52.2,20160821,0.044758756,86.32866447,0.075335212,4.128401843,0.177402635,-0.374178222,-1.64434401,0.061191402,,H,4.94,0.54,4.809518532
J183337.95,G23.465+0.115,18 33 37.96,-8 21 52.2,20160821,0.044758756,105.8910047,0.170813298,2.452217196,0.402238548,-0.127181641,-0.331982789,0.047159522,,H,7.24,1.09,
